"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[7]-theta[13]",-0.0201715156779819,-0.0204986867348209,-0.0203080906957257,10000,0.95,-0.040397977156976,-0.000425607017675578,0,3.02,NA,NA,NA,NA,NA
"theta[7]-theta[14]",0.00992784792843209,0.00883385472600623,0.00797407159402778,9432.6,0.95,-0.0216619837181096,0.0426803255463702,0,71.14,NA,NA,NA,NA,NA
"theta[7]-theta[15]",-0.00330969588880175,-0.00319526589854885,-0.00361904821112091,10000,0.95,-0.0161761796245887,0.00960027545583186,0,31.81,NA,NA,NA,NA,NA
"theta[7]-theta[16]",-0.0184479203009722,-0.0184249863792741,-0.0187056185620195,9713.4,0.95,-0.0340468906744968,-0.0018910065426726,0,1.41,NA,NA,NA,NA,NA
"theta[7]-theta[17]",-0.00419951052319346,-0.00459197235667741,-0.00414511351302248,10000,0.95,-0.0251774055345495,0.020740433811992,0,34.9,NA,NA,NA,NA,NA
"theta[7]-theta[18]",-0.0159854037333095,-0.0161798817494733,-0.0155592644262217,8588.4,0.95,-0.0341876141034934,0.00315997747690266,0,5.05,NA,NA,NA,NA,NA
"theta[7]-theta[19]",0.0637950329090263,0.0630967487864372,0.0598438830736784,9436.1,0.95,0.0317809078821351,0.0999911342335302,0,100,NA,NA,NA,NA,NA
"theta[7]-theta[20]",-0.0267768729113809,-0.0265386862151732,-0.025969052638881,10000,0.95,-0.0391015302976047,-0.0140957520766362,0,0.01,NA,NA,NA,NA,NA
"theta[7]-theta[21]",0.0111294886704692,0.0112284888033144,0.012523266543394,10000,0.95,-0.00505128943308031,0.027710586247947,0,90.5,NA,NA,NA,NA,NA
"theta[7]-theta[22]",-0.0336301750608432,-0.0358179577736096,-0.0407832693852334,10000,0.95,-0.0592006940370984,-0.00466687906990415,0,2.75,NA,NA,NA,NA,NA
"theta[7]-theta[23]",-0.0146253046169788,-0.0145184437957546,-0.0146815541872216,10000,0.95,-0.0275395517422212,-0.00177254140412331,0,1.04,NA,NA,NA,NA,NA
"theta[7]-theta[24]",-0.0224438617444265,-0.0223762312837341,-0.0217035652634728,10000,0.95,-0.0384909572154438,-0.00763465351881554,0,0.17,NA,NA,NA,NA,NA
"theta[7]-theta[25]",-0.0130969107460307,-0.0130639802636188,-0.011058410534967,10000,0.95,-0.0290559435520986,0.00307402494541864,0,5.35,NA,NA,NA,NA,NA
"theta[7]-theta[26]",0.11275445330169,0.110470217000694,0.107438486970944,10000,0.95,0.0425402109547484,0.185686302612399,0,100,NA,NA,NA,NA,NA
"theta[7]-theta[27]",0.138404385786582,0.134271630548149,0.131358950136468,10000,0.95,0.0331239092618724,0.250251824674481,0,99.91,NA,NA,NA,NA,NA
"theta[7]-theta[28]",0.0450768182587125,0.0451775638535958,0.0450544578641105,10000,0.95,0.0299343644508029,0.0608505248031133,0,100,NA,NA,NA,NA,NA
"theta[7]-theta[29]",-0.00807250532337932,-0.0100530100637576,-0.0131191120583473,11420.9,0.95,-0.0417307692290377,0.0304856323083704,0,29.86,NA,NA,NA,NA,NA
"theta[7]-theta[30]",0.0163519438597928,0.0160789896111672,0.0160714120200676,10000,0.95,-0.00754740295460543,0.0414451134538287,0,90.37,NA,NA,NA,NA,NA
"theta[7]-theta[31]",-0.0250912903199336,-0.0258316769689699,-0.0277075633958177,10000,0.95,-0.0462226254811043,-7.64620279901651e-05,0,2.63,NA,NA,NA,NA,NA
"theta[7]-theta[32]",-0.00888434011740223,-0.00868424333267809,-0.00842758343168719,10000,0.95,-0.021726366880594,0.00281568537124399,0,7.7,NA,NA,NA,NA,NA
"theta[7]-theta[33]",0.0876496499922539,0.0862886736000498,0.0856087810597549,9317.2,0.95,0.0366827401367221,0.143455688774337,0,99.99,NA,NA,NA,NA,NA
"theta[7]-theta[34]",0.0303782642609021,0.0296093025023195,0.0290983818453544,10000,0.95,-0.00502647088052122,0.0641713637772535,0,96.3,NA,NA,NA,NA,NA
"theta[7]-theta[35]",-0.00555400787722242,-0.00532050480092627,-0.00449971608287839,10000,0.95,-0.0183924804087741,0.0064431692155531,0,19.54,NA,NA,NA,NA,NA
"theta[7]-theta[36]",-0.0105567049685262,-0.0104589559750455,-0.0111401132046161,10779.7,0.95,-0.0260028937893012,0.00352441269803494,0,7.91,NA,NA,NA,NA,NA
"theta[7]-theta[37]",0.0435523626555898,0.0426605469153742,0.040595978110282,10000,0.95,0.00811120621012196,0.0798505782069826,0,99.63,NA,NA,NA,NA,NA
"theta[7]-theta[38]",0.000953045240392197,0.00021510466643665,-0.00276408856581185,10000,0.95,-0.0236645126489055,0.0292362525849915,0,50.58,NA,NA,NA,NA,NA
"theta[7]-theta[39]",-0.0165690572051346,-0.0163487571975657,-0.0158410054485715,10000,0.95,-0.029795545017603,-0.0040610494125557,0,0.3,NA,NA,NA,NA,NA
"theta[7]-theta[40]",0.136055670096602,0.129605095682121,0.118777035020071,10000,0.95,0.0152962687130375,0.274201928666432,0,99.42,NA,NA,NA,NA,NA
"theta[7]-theta[41]",0.00468096695225785,0.00401330905644365,0.00312634775511299,9671.3,0.95,-0.0203411638992252,0.0315000211602929,0,62.63,NA,NA,NA,NA,NA
"theta[7]-theta[42]",0.01794868241937,0.0177341431963415,0.0181205544642496,10000,0.95,-0.00394685536383421,0.0392178775255236,0,95.48,NA,NA,NA,NA,NA
"theta[7]-theta[43]",-0.0432764309609284,-0.0448063576731427,-0.046901565085453,10000,0.95,-0.063263072430056,-0.0208678618062874,0,0.33,NA,NA,NA,NA,NA
"theta[7]-theta[44]",-0.00184739900852464,-0.00203119453510942,-0.00265344999486084,10000,0.95,-0.0209412750970048,0.0170801384607807,0,42.2,NA,NA,NA,NA,NA
"theta[7]-theta[45]",-0.00585554666393273,-0.00565446598625818,-0.0054206902670098,10000,0.95,-0.0183283562773707,0.0060011019159083,0,17.17,NA,NA,NA,NA,NA
"theta[7]-theta[46]",0.0297801335143696,0.0290823808457868,0.0279302115252918,10000,0.95,0.00248269912643129,0.0594126575145899,0,98.62,NA,NA,NA,NA,NA
"theta[7]-theta[47]",0.00739863956772616,0.00755233025281321,0.00762040147072746,10000,0.95,-0.00674317588470252,0.0206663935075649,0,85.48,NA,NA,NA,NA,NA
"theta[7]-theta[48]",-0.000643643951906399,-0.00212018272456527,-0.00573849732721853,10000,0.95,-0.0319612319063221,0.0338651064343424,0,44.99,NA,NA,NA,NA,NA
"theta[7]-theta[49]",-0.0371277163623382,-0.036929919041272,-0.035842870619719,10000,0.95,-0.0494703918316427,-0.025084287547008,0,0,NA,NA,NA,NA,NA
"theta[7]-theta[50]",-0.0212044959313579,-0.0212651963159897,-0.0211541752385497,10000,0.95,-0.0372413677566297,-0.00583931582023645,0,0.4,NA,NA,NA,NA,NA
"theta[7]-theta[51]",0.02830235937316,0.024236417213225,0.0133398941525639,10000,0.95,-0.0295089651133413,0.091351985135244,0,80.82,NA,NA,NA,NA,NA
"theta[7]-theta[52]",0.0634946779125599,0.0573657030961549,0.0481272643139244,10000,0.95,-0.0230575103768231,0.160253150741352,0,92.53,NA,NA,NA,NA,NA
"theta[8]-theta[9]",0.0369441004983009,0.0367952821560033,0.0356599963612787,10000,0.95,0.00555376178082323,0.0675747473748978,0,98.98,NA,NA,NA,NA,NA
"theta[8]-theta[10]",0.0175861095932224,0.0180722285800431,0.0192403239394704,10000,0.95,-0.00265335423230206,0.0388634263928278,0,94.41,NA,NA,NA,NA,NA
"theta[8]-theta[11]",0.0209534588462043,0.0213551621489889,0.02247733634517,10000,0.95,0.000253452854443559,0.0409987443704272,0,97.09,NA,NA,NA,NA,NA
"theta[8]-theta[12]",0.0425160364598937,0.0400360561571134,0.0343135111914431,10000,0.95,-0.0140929761802397,0.104154049673945,0,93.48,NA,NA,NA,NA,NA
"theta[8]-theta[13]",-0.0223696385097694,-0.0222836517969157,-0.0220676218689275,10000,0.95,-0.0471471971766433,0.00318952896536817,0,3.95,NA,NA,NA,NA,NA
"theta[8]-theta[14]",0.00772972509664463,0.00678687001402317,0.0063435219479369,10000,0.95,-0.0293592074845,0.0436175290262466,0,65.44,NA,NA,NA,NA,NA
"theta[8]-theta[15]",-0.00550781872058921,-0.00514301272633294,-0.00599239625702478,10000,0.95,-0.0250056534921985,0.0143885367260504,0,29.82,NA,NA,NA,NA,NA
"theta[8]-theta[16]",-0.0206460431327597,-0.0203009186274278,-0.0208662963890799,10000,0.95,-0.0437615196332586,0.000487507363981177,0,2.74,NA,NA,NA,NA,NA
"theta[8]-theta[17]",-0.00639763335498092,-0.00659469394225931,-0.00787710919432731,10000,0.95,-0.0318443367130555,0.0227586244533808,0,31.99,NA,NA,NA,NA,NA
"theta[8]-theta[18]",-0.018183526565097,-0.018068739214674,-0.0203345148164588,9876,0.95,-0.0439091955051439,0.0041007444736102,0,6.38,NA,NA,NA,NA,NA
"theta[8]-theta[19]",0.0615969100772389,0.0610849649483496,0.0587361887310489,10000,0.95,0.0232855348415169,0.0977556346978083,0,99.92,NA,NA,NA,NA,NA
"theta[8]-theta[20]",-0.0289749957431684,-0.028564864974284,-0.0275140302339811,9477.5,0.95,-0.0488347318301408,-0.00962479688547446,0,0.04,NA,NA,NA,NA,NA
"theta[8]-theta[21]",0.00893136583868171,0.0093721221550449,0.011024227775629,10000,0.95,-0.0139702835150156,0.0304225679663646,0,79.03,NA,NA,NA,NA,NA
"theta[8]-theta[22]",-0.0358282978926306,-0.0373492646617354,-0.0414835625885942,10000,0.95,-0.0667853288674576,-0.00161785276735127,0,2.82,NA,NA,NA,NA,NA
"theta[8]-theta[23]",-0.0168234274487663,-0.0163122369526113,-0.0147944158508486,9929.3,0.95,-0.0379571984082039,0.00135449612682237,0,3.77,NA,NA,NA,NA,NA
"theta[8]-theta[24]",-0.024641984576214,-0.0244062496428849,-0.0240089476309242,10000,0.95,-0.0464539149346388,-0.00264748099814649,0,0.94,NA,NA,NA,NA,NA
"theta[8]-theta[25]",-0.0152950335778182,-0.0149835346022894,-0.0125756128390046,10000,0.95,-0.0378770982242858,0.00572548821463392,0,7.96,NA,NA,NA,NA,NA
