"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[5]-theta[9]",0.0070265018196639,0.00700026260831088,0.00664148609395024,20000,0.95,-0.00123750747717744,0.0152527470530182,0,95.325,NA,NA,NA,NA,NA
"theta[5]-theta[10]",0.00109593943972031,0.00107793893198532,0.000804121606739597,20000,0.95,-0.00707496619600079,0.00965101050763595,0,60.285,NA,NA,NA,NA,NA
"theta[5]-theta[11]",0.00329836343522809,0.00328107354269841,0.00292303757083948,20000,0.95,-0.00534184727280662,0.0117954393348563,0,77.34,NA,NA,NA,NA,NA
"theta[5]-theta[12]",0.00134616155045684,0.00132722991850592,0.00121918824325719,20000,0.95,-0.00692745947799023,0.00961643509557275,0,62.425,NA,NA,NA,NA,NA
"theta[5]-theta[13]",0.008924631226165,0.00894022426210178,0.00911001286898225,20000,0.95,0.000157666903170317,0.0173884651975448,0,97.83,NA,NA,NA,NA,NA
"theta[5]-theta[14]",0.0122225160416176,0.0121873748320265,0.0119473835225585,20000,0.95,0.00362336270161512,0.0210982381941814,0,99.765,NA,NA,NA,NA,NA
"theta[5]-theta[15]",0.0140761812509511,0.0140697447958613,0.0138810923028408,20000,0.95,0.00575904424503138,0.0224565369462395,0,99.98,NA,NA,NA,NA,NA
"theta[5]-theta[16]",0.000584043819366436,0.000568751380408461,-0.000130915958148271,20000,0.95,-0.00755198870256424,0.00899922232393557,0,55.295,NA,NA,NA,NA,NA
"theta[5]-theta[17]",0.00294396456694311,0.00293180038430019,0.00239026846347397,20000,0.95,-0.00540664467430252,0.0111170854580456,0,76.01,NA,NA,NA,NA,NA
"theta[5]-theta[18]",-0.00671480310153484,-0.00675346479847211,-0.00747952459426751,20000,0.95,-0.0145845662750358,0.000930793162485344,0,4.44,NA,NA,NA,NA,NA
"theta[5]-theta[19]",0.00376657943068873,0.00381463368687618,0.00425745846460584,20000,0.95,-0.00448993721458713,0.0113471801934393,0,82.21,NA,NA,NA,NA,NA
"theta[5]-theta[20]",0.0204272377867787,0.0204253356089258,0.0203624984891947,20000,0.95,0.0118825246823231,0.0290755188372819,0,100,NA,NA,NA,NA,NA
"theta[5]-theta[21]",0.0160438491153884,0.0160442896194218,0.0155805649017355,20429.6,0.95,0.0074106887001123,0.0248643607523055,0,99.985,NA,NA,NA,NA,NA
"theta[5]-theta[22]",-0.00647177453418988,-0.00648257872764674,-0.00708948178480838,20000,0.95,-0.0140646039943977,0.00128572558265561,0,5.015,NA,NA,NA,NA,NA
"theta[5]-theta[23]",0.00241154082924939,0.00239500508963714,0.00173146874812335,20000,0.95,-0.00587820568404906,0.0105093108483473,0,71.84,NA,NA,NA,NA,NA
"theta[5]-theta[24]",-0.00263672236942543,-0.0026196346232219,-0.00215190362393668,20000,0.95,-0.0112232291174591,0.00548271204575967,0,26.595,NA,NA,NA,NA,NA
"theta[5]-theta[25]",0.0141205422292718,0.0141028478217554,0.0137941134437962,19390.3,0.95,0.0047232483204418,0.0233394269204713,0,99.86,NA,NA,NA,NA,NA
"theta[5]-theta[26]",0.00871923151011246,0.00869707497819561,0.00823704913716622,20000,0.95,7.88206374950917e-05,0.0170261345938909,0,97.82,NA,NA,NA,NA,NA
"theta[5]-theta[27]",0.00169173310599318,0.00170299953259501,0.00129734899003478,20000,0.95,-0.00675891111675486,0.00969415624130132,0,65.59,NA,NA,NA,NA,NA
"theta[5]-theta[28]",0.0127339480261833,0.0127094270185755,0.0122809983051051,20000,0.95,0.00384201262895645,0.0214804944167393,0,99.77,NA,NA,NA,NA,NA
"theta[5]-theta[29]",0.0199290782227186,0.0199089893578093,0.0200136046044747,20408.7,0.95,0.0109499666684499,0.029130218717731,0,100,NA,NA,NA,NA,NA
"theta[5]-theta[30]",-0.00552686867651193,-0.00550268890842642,-0.00520456396465129,20000,0.95,-0.0139008928607817,0.00228890797850845,0,8.995,NA,NA,NA,NA,NA
"theta[5]-theta[31]",-0.0025235511246661,-0.00255346071948892,-0.00217524963522953,23472.4,0.95,-0.0124966164183548,0.00726223835904216,0,30.325,NA,NA,NA,NA,NA
"theta[6]-theta[7]",-0.00770709602905136,-0.00768696174471672,-0.0073653066977215,20000,0.95,-0.015330273414237,-0.000664146091611251,0,1.85,NA,NA,NA,NA,NA
"theta[6]-theta[8]",0.000461743160376671,0.000469639028293611,0.0005605341215511,20000,0.95,-0.00712519557370006,0.00793568372985654,0,54.635,NA,NA,NA,NA,NA
"theta[6]-theta[9]",0.0104229484618481,0.0104371066514155,0.0106317071957113,20842.1,0.95,0.00240509784227927,0.0183315811071916,0,99.43,NA,NA,NA,NA,NA
"theta[6]-theta[10]",0.00449238608190452,0.00448369761574546,0.00453577179924388,20000,0.95,-0.00377906960884911,0.0123843394627724,0,86.415,NA,NA,NA,NA,NA
"theta[6]-theta[11]",0.00669481007741231,0.00668146750232584,0.00688914326243868,20507.7,0.95,-0.00160007479845581,0.0150356859821003,0,94.325,NA,NA,NA,NA,NA
"theta[6]-theta[12]",0.00474260819264106,0.00472343601166075,0.00467441564476123,20423.6,0.95,-0.00325591284309434,0.0129029516784442,0,87.535,NA,NA,NA,NA,NA
"theta[6]-theta[13]",0.0123210778683492,0.0122954955468036,0.0121089812768098,20000,0.95,0.00392793018190862,0.0209794128315857,0,99.77,NA,NA,NA,NA,NA
"theta[6]-theta[14]",0.0156189626838018,0.0156200765477228,0.0154359968294883,20000,0.95,0.00717425415567297,0.0242664512883953,0,99.98,NA,NA,NA,NA,NA
"theta[6]-theta[15]",0.0174726278931353,0.0174579951474051,0.0174984242653128,20000,0.95,0.00930314524449782,0.0258514999500257,0,99.995,NA,NA,NA,NA,NA
"theta[6]-theta[16]",0.00398049046155065,0.00395890509869723,0.00394722883482631,20729.4,0.95,-0.00417732264740589,0.0120449344791351,0,83.445,NA,NA,NA,NA,NA
"theta[6]-theta[17]",0.00634041120912733,0.00631489186724304,0.00592750728725098,20948.9,0.95,-0.00150189281162849,0.014769020241272,0,94.035,NA,NA,NA,NA,NA
"theta[6]-theta[18]",-0.00331835645935062,-0.00332416694133147,-0.00371977781445085,17824.1,0.95,-0.0109932325461236,0.00400208181838901,0,19.31,NA,NA,NA,NA,NA
"theta[6]-theta[19]",0.00716302607287295,0.0071498581607094,0.00670240540200885,20000,0.95,-0.000663432954831844,0.0149047062019397,0,96.35,NA,NA,NA,NA,NA
"theta[6]-theta[20]",0.0238236844289629,0.02383479765941,0.0241934907874165,20576.5,0.95,0.0152589937860294,0.0321381920616477,0,100,NA,NA,NA,NA,NA
"theta[6]-theta[21]",0.0194402957575726,0.0194528315971097,0.0193986787933191,20501.3,0.95,0.0106202772945745,0.0279333435263244,0,100,NA,NA,NA,NA,NA
"theta[6]-theta[22]",-0.00307532789200566,-0.00309578343027483,-0.00334550666496349,20439.9,0.95,-0.0103921892738936,0.00453864857718966,0,21.075,NA,NA,NA,NA,NA
"theta[6]-theta[23]",0.00580798747143361,0.00577809578795224,0.0052211746102693,20499.4,0.95,-0.00195707175884119,0.0138889368660133,0,92.495,NA,NA,NA,NA,NA
"theta[6]-theta[24]",0.000759724272758783,0.000767710001908894,0.00085107414624017,21258.1,0.95,-0.00697157483418742,0.00895728535898754,0,57.635,NA,NA,NA,NA,NA
"theta[6]-theta[25]",0.017516988871456,0.0175605161552899,0.0177821003253211,19507.4,0.95,0.00852071940078925,0.0268621170928308,0,99.985,NA,NA,NA,NA,NA
"theta[6]-theta[26]",0.0121156781522967,0.012104013146991,0.0121328441587531,19530.2,0.95,0.00370399603284666,0.0206124952600342,0,99.765,NA,NA,NA,NA,NA
"theta[6]-theta[27]",0.0050881797481774,0.00511793065083416,0.00534666526007495,20000,0.95,-0.00265840527559091,0.0134428376672868,0,89.19,NA,NA,NA,NA,NA
"theta[6]-theta[28]",0.0161303946683675,0.016113540927793,0.0154546642669733,20000,0.95,0.00782430387101907,0.0248259797905492,0,99.99,NA,NA,NA,NA,NA
"theta[6]-theta[29]",0.0233255248649028,0.023298634717042,0.023268509668452,20000,0.95,0.0142181767502969,0.0320806374767374,0,100,NA,NA,NA,NA,NA
